id_rama,id_rama_padre,generacion,n_puntas,x_creacion,y_creacion,paso_creacion,x_dendro,y_dendro
166,165,43,1,177.7658619710777,135.46031229002557,303,14.5,-43.0
167,165,43,1,171.22172182685415,129.63324477588762,304,18.125,-43.0
168,167,44,1,168.61688104275868,125.18925975925278,305,16.75,-44.0
169,167,44,1,167.95607315786341,127.98447701347197,306,19.5,-44.0
170,168,45,1,167.2972305556867,124.21893402394825,307,16.75,-45.0
171,170,46,1,168.40366879179072,116.97034652074083,309,16.75,-46.0
172,171,47,1,173.92294129380775,118.78502329422233,310,16.0,-47.0
173,169,45,1,162.58500131557042,132.6291932392686,311,19.5,-45.0
174,166,44,1,182.6994087389207,137.0365093303608,313,14.5,-44.0
175,174,45,1,183.71098848814052,137.22676411356122,314,14.5,-45.0
176,172,48,1,177.6256821869092,115.936218155072,315,16.0,-48.0
177,171,47,1,160.12116789780924,108.82421833614528,316,17.5,-47.0
178,173,46,1,153.6171071621942,137.86828005979805,318,19.5,-46.0
179,177,48,1,164.9330850683866,92.21656448364753,318,17.0,-48.0
180,175,46,1,186.8414480957052,141.17275098442678,319,14.0,-46.0
181,175,46,1,187.21006599927364,142.05564560153869,320,15.0,-46.0
182,160,43,1,41.877994100184665,95.7252914842988,321,25.0,-43.0
183,182,44,1,34.22438362674847,90.1268525496814,328,25.0,-44.0
184,158,38,1,187.39571211160944,60.93331508226194,329,46.078125,-38.0
185,177,48,1,164.72045578405297,106.44514652846063,329,18.0,-48.0
186,178,47,1,147.27886051641488,145.46651719884431,329,19.5,-47.0
187,184,39,1,207.32267045356326,50.60377192364269,330,37.15625,-39.0
188,184,39,1,188.52577906888956,57.200202557457644,332,55.0,-39.0
189,183,45,1,33.00006304063586,81.97188363500541,338,25.0,-45.0
190,188,40,1,203.46371487279015,27.53133941287653,338,55.0,-40.0
191,186,48,1,143.08840696893697,147.57555821817402,339,19.0,-48.0
192,186,48,1,145.0768385209008,149.86739225716443,340,20.0,-48.0
193,179,49,1,167.9376757130302,85.91052242451937,342,17.0,-49.0
194,191,49,1,143.3815261325641,149.0522325156223,342,19.0,-49.0
195,187,40,1,215.24722048092192,36.795422694685136,356,31.0,-40.0
196,187,40,1,215.64896343960515,55.94202693990762,357,43.3125,-40.0
197,196,41,1,215.66012453619294,61.15652325245717,366,43.3125,-41.0
198,197,42,1,211.4202666120332,61.71832776859835,368,33.25,-42.0
199,197,42,1,219.20326090956206,63.59464177425303,370,42.6875,-42.0
200,197,42,1,217.76292795817477,66.67335300689442,372,54.0,-42.0
201,199,43,1,221.83014603183213,63.39606184409316,372,36.03125,-43.0
